extract,country,city,left,bottom,right,top,id
tokelau,Tokelau,,-172.8213672,-9.7442498,-170.8797585,-8.232863,2bf0a8a02591d4543b25ac25f7895444
tonga,Tonga,,-179.4951979,-24.2625705,-173.4295457,-15.2655721,1bec539398afb863bc6ca52686f590b9
trinidad_and_tobago,Trinidad and Tobago,,-62.1830559,9.7732106,-60.1895847,11.6628372,b91189e7effc2fde7da10e29dbfa65c1
tunisia,Tunisia,,7.4219807,30.14238,11.9801133,37.8612052,23d1b4f4d3f43150ca9ffd364f5d8a41
turkey,Turkey,,25.5212891,35.7076804,44.9176638,42.397,025978b47627cbfa0b272b3baad7823f
turkmenistan,Turkmenistan,,52.235076,35.0355776,66.784303,42.8975571,1fd6b97b2be5fd8819d76f449b247ff1
turks_and_caicos_islands,Turks and Caicos Islands,,-72.7799045,20.8553418,-70.764359,22.2630989,8ae9c3c3eefeef5bb8ae9a4b403b5cd3
tuvalu,Tuvalu,,175.3417,-11.1881,180.835,-5.1524,59d58d38d8e1c9f262f93d662ff48fd4
uganda,Uganda,,29.4727424,-1.5787899,35.100308,4.3340766,053a0651facf2467f4241b512fcb0fc4
ukraine,Ukraine,,22.037059,44.084598,40.3275801,52.4791473,db39e9b9b6c888f3321b6e35e5fe0b35
united_arab_emirates,United Arab Emirates,,51.3160714,22.5316214,56.7024458,26.2517219,7d23a3bcb833adb57db33794b739a80e
united_kingdom,United Kingdom,,-14.1155169,49.574,2.1919117,61.161,06a761931707d2b9ce80ca43a0309959
united_states_of_america,United States of America,,-125.3321,23.8991,-65.7421,49.4325,fc20217c6646bb449d07a5e235cc2f02
uruguay,Uruguay,,-58.5948437,-35.8847311,-52.9755832,-29.9853439,e03bbd015eacaa8e0cf495fbb4db4649
uzbekistan,Uzbekistan,,55.8985781,37.0772144,73.2397362,45.690118,80f117b2a16312e2236dad6743429310
vanuatu,Vanuatu,,166.2355255,-20.5627424,170.549982,-12.7713776,b0d74fdc2f6f79c620e2daa8c885b297
vatican_city,Vatican City,,12.3457442,41.8002044,12.5583555,42.0073912,7fba03c5046ce56e3eaccf978f34f103
venezuela,Venezuela,,-73.4529631,0.547529,-59.4427078,16.0158431,8fad993c65cee6496c6bbc6fd778a569
vietnam,Vietnam,,102.04441,8.0790665,114.4341924,23.493395,9efb5fd58768e75e9fbc21af0e9a617e
yemen,Yemen,,41.50825,11.8084802,54.8389375,19.1,b899164cc5793e1dd8185e4d6375e8bd
zambales,Zambales,,117.411894,14.5033824,120.549421,15.958218,3ae85343df3cd2ed770526f02fa61c2d
zambia,Zambia,,21.896389,-18.1766964,33.8025,-8.1712821,0add79feb85cc569da670c073ffaed54
zimbabwe,Zimbabwe,,25.1373,-22.5241095,33.1627122,-15.5097038,54ec44a7d97f938d07d5c296ea3171c5
