extract,id,country,city,left,bottom,right,top
cheshire_england,4176145e28c1c6b0dd5ab5d4a1d92aa0,England,Cheshire,-3.204,52.925,-1.912,53.396
la-rochelle_france,4f8e076ece7c763407a0b3ece78196b7,France,La Rochelle,-1.282,46.122,-1.067,46.206
paris_france,afe1d96635ebeb2b695514b9ecbe374c,France,Paris,1.851,48.531,2.911,49.178
hanover_germany,efcd32696a0cb482195582a98bd885ea,Germany,Hanover,9.604,52.305,9.919,52.454
zurich_switzerland,ed60b6abad4dd6f0c03292caa3dff579,Switzerland,Zurich,8.275,47.225,8.8,47.533
brussels_belgium,6ca91325dfae2b814409ee57bd836261,Belgium,Brussels,3.981,50.645,4.761,51.053
clermont-ferrand_france,06cbc95327b1eb63a002e37f6050c8ee,France,Clermont Ferrand,3.021,45.72,3.22,45.82
deggendorf_germany,d54bde9429755f2efde84f596e763493,Germany,Deggendorf,12.873,48.786,13.074,48.908
lille_france,c32f0b9b7a75493a29838065e398a5eb,France,Lille,2.823,50.469,3.389,50.8
liverpool_england,f89278f6ba9277c11ede65b18e453bbd,England,Liverpool,-3.201,53.283,-2.74,53.514
duesseldorf_germany,a58fab928ad0090e15c4a7da5b1c44d2,Germany,Duesseldorf,6.622,51.116,7.009,51.361
marseille_france,b1071ddacd724a68d28a91333dc67263,France,Marseille,4.905,43.038,5.776,43.554
wiesbaden_germany,5c72818ba951843724e69f7c851243e6,Germany,Wiesbaden,8.11,49.993,8.386,50.152
belfast_ireland,62bf8f02e25c935f7fc6b8d3429d789b,Ireland,Belfast,-6.046,54.532,-5.816,54.663
nuremberg_germany,ade68891ac43630ba4e2d08cacbc048a,Germany,Nuremberg,10.987,49.33,11.283,49.541
bruges_belgium,628c8a3bcee84690d2bf3e1b30c2eec0,Belgium,Bruges,3.107,51.148,3.337,51.374
frankfurt_germany,06034c7b3c4afbf23523f3778b377544,Germany,Frankfurt,8.471,50.014,8.8,50.227
nottingham_england,8d5427b401eaced41a28e03093987075,England,Nottingham,-1.3,52.877,-1.07,53.024
bielefeld_germany,357a0874ec1acb863bca6f39b407bda1,Germany,Bielefeld,8.377,51.915,8.663,52.114
darmstadt_germany,2706a6053b37637f1ae7beca01a0e36f,Germany,Darmstadt,8.559,49.795,8.75,49.954
hamburg_germany,063e98ea79fe63261e00112fea735d97,Germany,Hamburg,9.376,53.159,10.678,53.833
sheffield_england,fc0f7255e0a3243aea7c1faff1dd1271,England,Sheffield,-1.801,53.305,-1.325,53.503
oxford_england,c64a1a4a1e5cb69f6521bf3b2ce28a2b,England,Oxford,-1.403,51.698,-1.143,51.828
cardiff-newport-bristol-bath_england,24266db8cff9c7cc8ac046206a53ab0e,England,Cardiff Newport Bristol Bath,-3.618,51.236,-2.189,51.73
mainz_germany,c91568bbf06edfa950c1c208e29d73a2,Germany,Mainz,8.11,49.895,8.343,50.035
london_england,b0f10159e3611a320183ce36582eed5c,England,London,-1.115,50.941,0.895,51.984
dublin_ireland,789597a7b9de60d3fbe4db631c5e1ca3,Ireland,Dublin,-6.569,53.178,-6.023,53.512
papeete_french-polynesia,ddaee26c9abb6181894076c87578e642,French Polynesia,Papeete,-149.635,-17.888,-149.114,-17.485
perth_australia,1c5e60f8d41a410bb891da5b0731d617,Australia,Perth,115.439,-32.499,116.208,-31.705
auckland_new-zealand,972e5ad73d152a85e509d95ea2f81af5,New Zealand,Auckland,174.223,-37.348,175.314,-36.41
wellington_new-zealand,58944777b0d7ca4db5360b61e006e889,New Zealand,Wellington,174.612,-41.614,176.333,-40.659
adelaide_australia,6d37b52036ad52ecaf4072c17a91fd84,Australia,Adelaide,138.417,-35.261,138.854,-34.57
bogor_indonesia,570cce7cb0d6bf0bbaf24b0727077acf,Indonesia,Bogor,106.705,-6.683,106.886,-6.456
sydney_australia,c5266d49635e309d44f54d9348e13b38,Australia,Sydney,150.628,-34.189,151.647,-33.637
gold-coast_australia,97cc7bae3c9c74f2aff74095f592cf7f,Australia,Gold Coast,153.13,-28.2,153.583,-27.722
brisbane_australia,ddeca3b8bf73a7909ccde69a8d81f6da,Australia,Brisbane,152.7,-27.723,153.349,-27
melbourne_australia,7fc3407ca174bec89d49650b910a8c03,Australia,Melbourne,144.266,-38.552,145.81,-37.365
townsville_australia,1d907b18055c02b1e21cd50826f8793c,Australia,Townsville,146.696,-19.344,146.851,-19.229
darwin_australia,2924434045eb931ea6694388015992e0,Australia,Darwin,130.804,-12.52,131.019,-12.317
bandung_indonesia,4e2e79b9bf170ddef18ee0f6fde48be3,Indonesia,Bandung,107.474,-7.007,107.745,-6.773
